OBSERVATIONDATETIME	LOCATION	WEDGE	CATEGORY	COMMONNAME	SCIENTIFICNAME	STATUS	NOTES
9/5/2025	Sanctuary		Pollinator	Great purple hairstreak	Atlides halesus	Present	
9/26/2025	Sanctuary		Pollinator	Great purple hairstreak	Atlides halesus	Present	
11/7/2025	Sanctuary		Pollinator	Great purple hairstreak	Atlides halesus	Present	
6/16/2023	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
6/23/2023	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
6/30/2023	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
7/7/2023	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
7/14/2023	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
6/14/2024	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
7/12/2024	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
4/18/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
5/23/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
6/27/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
7/25/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
9/5/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
9/26/2025	Sanctuary		Pollinator	Queen	Danaus gilippus	Present	
5/3/2024	Garden	1	Plant	Frogfruit	Phyla nodiflora	Blooming	
5/3/2024	Garden	1	Plant	Calyophus	Oenothera calylophus	Blooming	
5/3/2024	Garden	1	Plant	Datura	Datura wrightii	Several new plants	
5/3/2024	Garden	2	Plant	Silver ponyfoot	Dichondra argentea	Fully green/silver	
5/3/2024	Garden	2	Plant	Mealy blue sage	Salvia farinacea	Blooming	
5/3/2024	Garden	2	Plant	Esperanza	Tecoma stans	Fully green	
5/3/2024	Garden	3	Plant	Gregg dalea	Dalea greggii	Fully green	
5/3/2024	Garden	3	Plant	Damianita	Chrysactinia mexicana	Spent blooms	
5/3/2024	Garden	3	Plant	Tropical sage	Salvia coccinea	New growth, some blooms	
5/3/2024	Garden	4	Plant	Metz's Wild Petunia	Ruellia nudiflora	Fully green	
5/3/2024	Garden	4	Plant	Heart leaf hibiscus	Hibiscus martianus	New growth	
5/3/2024	Garden	4	Plant	Blue mistflower	Conoclinium coelestinum	Blooming	
5/3/2024	Garden	5	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
5/3/2024	Garden	5	Plant	Autumn sage	Salvia greggii	Blooming	
5/3/2024	Garden	5	Plant	Apache plume	Fallugia paradoxa	Blooming	
5/3/2024	Garden	6	Plant	Frogfruit	Phyla nodiflora	Blooming	
5/3/2024	Garden	6	Plant	Lindheimer muhly	Muhlenbergia lindheimeri	Fully green	
5/3/2024	Garden	6	Plant	American beautyberry	Callicarpa americana	Fully green, budding flowers	
5/3/2024	Garden	7	Plant	Snakeherb	Dyschoriste linearis	Blooming	
5/3/2024	Garden	7	Plant	Pink guara	Oenothera lindheimeri	Spent blooms	
5/3/2024	Garden	7	Plant	White mistflower	Ageratina havanensis	Blooming	
5/3/2024	Garden	8	Plant	Gregg dalea	Dalea greggii	Blooming	
5/3/2024	Garden	8	Plant	Zexmenia	Wedelia texana	Blooming	
5/3/2024	Garden	8	Plant	Red yucca	Hesperaloe parviflora	Blooming	
5/3/2024	Garden	9	Plant	Mountain pea	Sophora secundiflora	Fully green	
5/3/2024	Garden	9	Plant	Butterfly weed	Asclepias tuberosa	Fully green	
5/3/2024	Garden	9	Plant	Gulf muhly	Muhlenbergia capillaris	Fully green	
